DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
RXN__45__17009	['RXN__45__17009']
RXN__45__17008	['RXN__45__17008']
RXN__45__10059	['RXN__45__10059']
AMP__45__DEPHOSPHORYLATION__45__RXN	['AMP__45__DEPHOSPHORYLATION__45__RXN']
RXN__45__18602	['RXN__45__18602']
ASPARTASE__45__RXN	['ASPARTASE__45__RXN']
RIBOFLAVINKIN__45__RXN	['RIBOFLAVINKIN__45__RXN']
RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__C552__45__Red__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__C552__45__Ox__47__WATER__46__89__46__	['RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__C552__45__Red__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__C552__45__Ox__47__WATER__46__89__46__']
UDPACYLGLCNACDEACETYL__45__RXN	['UDPACYLGLCNACDEACETYL__45__RXN']
GLUCOSAMINE__45__6__45__P__45__DEAMIN__45__RXN	['GLUCOSAMINE__45__6__45__P__45__DEAMIN__45__RXN']
RXN3O__45__1803	['RXN3O__45__1803']
RXN__45__1082	['RXN__45__1082']
_2__46__1__46__1__46__64__45__RXN	['_2__46__1__46__1__46__64__45__RXN']
ACECOATRANS__45__RXN__45__LAUROYLCOA__45__CPD__47__ACET__47____47__DODECANOATE__47__ACETYL__45__COA__46__44__46__	[]
PHOSACETYLTRANS__45__RXN	['PHOSACETYLTRANS__45__RXN']
RXN__45__8759	['RXN__45__8759']
NACGLCTRANS__45__RXN	['NACGLCTRANS__45__RXN']
RXN0__45__2522	[]
R341__45__RXN	['R341__45__RXN']
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN__45__HYDROGEN__45__PEROXIDE__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__47____47__an__45__oxidized__45__NrfB__45__protein__47__WATER__46__80__46__	[]
RXN__45__12570	[]
HISTIDINE__45__AMMONIA__45__LYASE__45__RXN	['HISTIDINE__45__AMMONIA__45__LYASE__45__RXN']
TRANS__45__RXN__45__157__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__Glucopyranose__47____47__GLC__45__6__45__P__47__Hpr__45__Histidine__46__65__46__	[]
ALLANTOINASE__45__RXN	['ALLANTOINASE__45__RXN']
RXN0__45__1602	[]
RXN0__45__1603	[]
DMBPPRIBOSYLTRANS__45__RXN	['DMBPPRIBOSYLTRANS__45__RXN']
GLUTAMATE__45__SYNTHASE__45__FERREDOXIN__45__RXN	[]
PREPHENATEDEHYDROG__45__RXN	[]
RXN__45__14056	['RXN__45__14056']
RXN__45__8991	['RXN__45__8991']
RXN__45__16998	['RXN__45__16998']
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN	[]
RXN1G__45__508	['RXN1G__45__508']
