DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
METHYLMALONYL__45__COA__45__EPIM__45__RXN	['METHYLMALONYL__45__COA__45__EPIM__45__RXN']
UNDECAPRENYL__45__DIPHOSPHATASE__45__RXN	['UNDECAPRENYL__45__DIPHOSPHATASE__45__RXN']
RXN3O__45__117	[]
CDPKIN__45__RXN	['CDPKIN__45__RXN']
RXN1G__45__881	['RXN1G__45__881']
RXN__45__10661	[]
RXN__45__5841	['RXN__45__5841']
TRANS__45__RXN__45__156	[]
PHENYLPYRUVATE__45__TAUTOMERASE__45__RXN	['PHENYLPYRUVATE__45__TAUTOMERASE__45__RXN']
RXN__45__13191	['RXN__45__13191']
TRANS__45__RXN__45__157__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__GLC__47____47__D__45__glucopyranose__45__6__45__phosphate__47__Hpr__45__Histidine__46__75__46__	[]
RXN__45__11245	[]
RXN__45__11244	[]
RXN__45__11246	['RXN__45__11246']
ALANINE__45____45__TRNA__45__LIGASE__45__RXN	['ALANINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__11715	['RXN__45__11715']
RXN__45__17779	['RXN__45__17779']
RXN__45__17016	[]
RXN__45__17017	[]
RXN__45__17014	['RXN__45__17014']
RXN__45__17015	['RXN__45__17015']
RXN__45__17012	['RXN__45__17012']
RXN__45__17013	['RXN__45__17013']
RXN__45__17010	['RXN__45__17010']
RXN__45__17011	['RXN__45__17011']
RXN__45__8342	[]
RXN__45__9523	['RXN__45__9523']
_4__46__99__46__1__46__3__45__RXN	['_4__46__99__46__1__46__3__45__RXN']
RXN__45__17018	[]
RXN__45__17019	['RXN__45__17019']
RXN__45__17791	['RXN__45__17791']
RXN__45__17790	[]
RXN__45__17793	[]
RXN__45__17792	['RXN__45__17792']
RXN__45__17795	['RXN__45__17795']
RXN__45__17794	[]
RXN__45__17797	[]
RXN__45__17796	['RXN__45__17796']
RXN__45__17799	['RXN__45__17799']
RXN__45__17798	[]
_5__46__4__46__2__46__10__45__RXN__45__CPD__45__13469__47____47__GLUCOSAMINE__45__1P__46__26__46__	['_5__46__4__46__2__46__10__45__RXN__45__CPD__45__13469__47____47__GLUCOSAMINE__45__1P__46__26__46__']
DEOXYINOPHOSPHOR__45__RXN	['DEOXYINOPHOSPHOR__45__RXN']
GLUTRACE__45__RXN	['GLUTRACE__45__RXN']
RXN__45__12002	['RXN__45__12002']
RXN__45__12466	[]
RXN__45__17881	[]
RXN__45__17883	[]
RXN__45__17882	[]
RXN__45__12507	[]
RXN__45__9528	['RXN__45__9528']
L__45__GLN__45__FRUCT__45__6__45__P__45__AMINOTRANS__45__RXN	['L__45__GLN__45__FRUCT__45__6__45__P__45__AMINOTRANS__45__RXN']
ASPARTATEKIN__45__RXN	['ASPARTATEKIN__45__RXN']
_2__45__DEHYDROPANTOATE__45__REDUCT__45__RXN	['_2__45__DEHYDROPANTOATE__45__REDUCT__45__RXN']
RXN__45__8315	['RXN__45__8315']
RXN0__45__2141	['RXN0__45__2141']
RXN__45__9540	['RXN__45__9540']
RXN1G__45__469__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__	['_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__', 'RXN1G__45__469__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__', 'RXN1G__45__157__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__']
RXN0__45__2144	[]
ANTHRANSYN__45__RXN	['ANTHRANSYN__45__RXN']
GMP__45__SYN__45__GLUT__45__RXN	['GMP__45__SYN__45__GLUT__45__RXN']
VALINE__45____45__TRNA__45__LIGASE__45__RXN	['VALINE__45____45__TRNA__45__LIGASE__45__RXN']
PHOSNACMURPENTATRANS__45__RXN	['PHOSNACMURPENTATRANS__45__RXN']
RXN__45__14047	['RXN__45__14047']
RXN__45__8668	['RXN__45__8668']
DIAMINOPIMDECARB__45__RXN	['DIAMINOPIMDECARB__45__RXN']
RXN__45__10705	[]
RXN__45__9238	[]
_3__46__1__46__3__46__16__45__RXN	[]
_5__46__1__46__99__46__4__45__RXN	['_5__46__1__46__99__46__4__45__RXN']
METHENYLTHFCYCLOHYDRO__45__RXN	['METHENYLTHFCYCLOHYDRO__45__RXN']
RXN__45__37	['RXN__45__37']
GPPSYN__45__RXN	['GPPSYN__45__RXN']
RXN__45__12481	['RXN__45__12481']
DIHYDRODIPICSYN__45__RXN	['DIHYDRODIPICSYN__45__RXN']
UDPGLUCEPIM__45__RXN	['UDPGLUCEPIM__45__RXN']
RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__C554__45__Ox__47____47__CPD__45__14557__47__Cytochromes__45__C554__45__Red__47__PROTON__46__73__46__	['RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__C554__45__Ox__47____47__CPD__45__14557__47__Cytochromes__45__C554__45__Red__47__PROTON__46__73__46__']
RXN__45__14903	[]
RXN__45__1404	['RXN__45__1404']
_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN__45__3__45__hydroxy__45__gammalinolenoyl__45__acp__47__NADP__47____47__3__45__oxo__45__dihomogammalinolenoyl__45__acp__47__NADPH__47__PROTON__46__81__46__	['_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN__45__3__45__hydroxy__45__gammalinolenoyl__45__acp__47__NADP__47____47__3__45__oxo__45__dihomogammalinolenoyl__45__acp__47__NADPH__47__PROTON__46__81__46__']
TRYPTOPHAN__45____45__TRNA__45__LIGASE__45__RXN	['TRYPTOPHAN__45____45__TRNA__45__LIGASE__45__RXN']
ARGININE__45____45__TRNA__45__LIGASE__45__RXN	['ARGININE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__15511	['RXN__45__15511']
ASPARTATE__45__SEMIALDEHYDE__45__DEHYDROGENASE__45__RXN	['ASPARTATE__45__SEMIALDEHYDE__45__DEHYDROGENASE__45__RXN']
_4__46__2__46__1__46__59__45__RXN	['_4__46__2__46__1__46__59__45__RXN']
RXN__45__6081	['RXN__45__6081']
MANNPISOM__45__RXN	[]
NADH__45__DEHYDROGENASE__45__RXN	[]
HYDROGEN__45__DEHYDROGENASE__45__RXN	[]
RXN__45__15513	['_3PGAREARR__45__RXN', 'RXN__45__15513']
_3__45__HYDROXYISOBUTYRATE__45__DEHYDROGENASE__45__RXN	['_3__45__HYDROXYISOBUTYRATE__45__DEHYDROGENASE__45__RXN']
RXN__45__16424	['RXN__45__16424']
RXN__45__7968__45__SHIKIMATE__47__NAD__47____47__3__45__DEHYDRO__45__SHIKIMATE__47__NADH__47__PROTON__46__47__46__	[]
RXN__45__16427	['RXN__45__16427']
RXN__45__16420	['RXN__45__16420']
RXN0__45__5408	['RXN0__45__5408']
RXN__45__15348	['RXN__45__15348']
RXN1G__45__320	['RXN1G__45__320']
NAG1P__45__URIDYLTRANS__45__RXN	['NAG1P__45__URIDYLTRANS__45__RXN']
RXN__45__8344	[]
GDPMANDEHYDRA__45__RXN	['GDPMANDEHYDRA__45__RXN']
RXN__45__16615	['RXN__45__16615']
_4__46__2__46__1__46__58__45__RXN	['_4__46__2__46__1__46__58__45__RXN']
_3__45__OXOADIPATE__45__ENOL__45__LACTONASE__45__RXN	['_3__45__OXOADIPATE__45__ENOL__45__LACTONASE__45__RXN']
PYRUVATE__45__CARBOXYLASE__45__RXN	['PYRUVATE__45__CARBOXYLASE__45__RXN']
RXN__45__16759	['RXN__45__16759']
RXNI__45__2	['RXNI__45__2']
AMYLOMALT__45__RXN__45__MALTOTETRAOSE__47__GLC__47____47__MALTOTRIOSE__47__MALTOSE__46__39__46__	['AMYLOMALT__45__RXN__45__MALTOTETRAOSE__47__GLC__47____47__MALTOTRIOSE__47__MALTOSE__46__39__46__']
RXN__45__14986	['RXN__45__14986']
PROTEIN__45__TYROSINE__45__PHOSPHATASE__45__RXN	[]
_2__46__1__46__1__46__130__45__RXN	['_2__46__1__46__1__46__130__45__RXN']
RIBONUCLEOSIDE__45__DIP__45__REDUCTI__45__RXN__45__DADP__47__Ox__45__Thioredoxin__47__WATER__47____47__ADP__47__Red__45__Thioredoxin__46__47__46__	['ADPREDUCT__45__RXN']
ALDOSE__45__1__45__EPIMERASE__45__RXN	['ALDOSE__45__1__45__EPIMERASE__45__RXN']
RXN__45__12540	['RXN__45__12540']
GSAAMINOTRANS__45__RXN	['GSAAMINOTRANS__45__RXN']
RXN__45__11409	['RXN__45__11409']
COBINAMIDEKIN__45__RXN	['COBINAMIDEKIN__45__RXN']
BRANCHED__45__CHAINAMINOTRANSFERLEU__45__RXN	['BRANCHED__45__CHAINAMINOTRANSFERLEU__45__RXN']
NADH__45__DEHYDROGENASE__45__QUINONE__45__RXN	['NADH__45__DEHYDROGENASE__45__QUINONE__45__RXN']
PEPTIDYLPROLYL__45__ISOMERASE__45__RXN	['PEPTIDYLPROLYL__45__ISOMERASE__45__RXN']
_3__45__CH3__45__2__45__OXOBUTANOATE__45__OH__45__CH3__45__XFER__45__RXN	['_3__45__CH3__45__2__45__OXOBUTANOATE__45__OH__45__CH3__45__XFER__45__RXN']
RXN0__45__5144	[]
RXN__45__11662	[]
HISTIDINE__45____45__TRNA__45__LIGASE__45__RXN	['HISTIDINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__11667	[]
THIOSULFATE__45__SULFURTRANSFERASE__45__RXN	['THIOSULFATE__45__SULFURTRANSFERASE__45__RXN']
PROPIONLACT__45__RXN	[]
GLUTATHIONE__45__PEROXIDASE__45__RXN	['GLUTATHIONE__45__PEROXIDASE__45__RXN']
PRIBFAICARPISOM__45__RXN	['PRIBFAICARPISOM__45__RXN']
_2__46__7__46__7__46__1__45__RXN	['_2__46__7__46__7__46__1__45__RXN']
RXN0__45__5266	['RXN0__45__5268', 'RXN0__45__5266']
RIBOFLAVINSYNREDUC__45__RXN	['RIBOFLAVINSYNREDUC__45__RXN']
DHHB__45__METHYLTRANSFER__45__RXN	[]
RXN1G__45__240	['RXN1G__45__240']
RXN__45__13805	[]
RXN__45__12710	['RXN__45__12710']
RXN__45__9634	['RXN__45__9634']
DIHYDROXYMETVALDEHYDRAT__45__RXN	['DIHYDROXYMETVALDEHYDRAT__45__RXN']
RIBONUCLEOSIDE__45__DIP__45__REDUCTI__45__RXN__45__DGDP__47__Ox__45__Thioredoxin__47__WATER__47____47__GDP__47__Red__45__Thioredoxin__46__47__46__	['GDPREDUCT__45__RXN']
RXN__45__12625__45__CHITOBIOSE__47__WATER__47____47__N__45__ACETYL__45__D__45__GLUCOSAMINE__46__41__46__	['RXN__45__12625__45__CHITOBIOSE__47__WATER__47____47__N__45__ACETYL__45__D__45__GLUCOSAMINE__46__41__46__']
S__45__ADENMETSYN__45__RXN	['S__45__ADENMETSYN__45__RXN']
ACETYL__45__COA__45__ACETYLTRANSFER__45__RXN	['ACETYL__45__COA__45__ACETYLTRANSFER__45__RXN']
RXN__45__16118	['RXN__45__16118']
RXN0__45__4301	['RXN0__45__4301']
GKI__45__RXN	[]
AIRCARBOXY__45__RXN	['AIRCARBOXY__45__RXN']
SERINE__45__O__45__ACETTRAN__45__RXN	['SERINE__45__O__45__ACETTRAN__45__RXN']
GUANIDINOBUTANAMIDE__45__NH3__45__RXN	[]
RXN0__45__7271	['RXN0__45__7271']
ALANINE__45__DEHYDROGENASE__45__RXN	['ALANINE__45__DEHYDROGENASE__45__RXN']
RXN__45__11811	['RXN__45__11811']
RXN__45__16117	[]
TYROSINE__45____45__TRNA__45__LIGASE__45__RXN	['TYROSINE__45____45__TRNA__45__LIGASE__45__RXN']
MALATE__45__DEH__45__RXN	['MALATE__45__DEH__45__RXN']
RXN__45__17900	['RXN__45__17900']
HEMN__45__RXN	[]
RXN__45__8529	[]
SHIKIMATE__45__KINASE__45__RXN	['SHIKIMATE__45__KINASE__45__RXN']
RXN__45__14963	['RXN__45__14963']
RXN__45__8447	['RXN__45__8447']
GTP__45__CYCLOHYDRO__45__II__45__RXN	['GTP__45__CYCLOHYDRO__45__II__45__RXN']
RXN__45__9191	['RXN__45__9191']
RXN__45__14225	['RXN__45__14225']
_1__46__1__46__1__46__8__45__RXN	['_1__46__1__46__1__46__8__45__RXN']
_2PGADEHYDRAT__45__RXN	['_2PGADEHYDRAT__45__RXN']
QUINOLINATE__45__SYNTHA__45__RXN	['QUINOLINATE__45__SYNTHA__45__RXN']
PHOSGLYPHOS__45__RXN	['PHOSGLYPHOS__45__RXN']
RXN__45__18510	['RXN__45__18510']
RXN__45__18511	['RXN__45__18511']
RXN__45__14228	['RXN__45__14228']
_4__45__CARBOXYMUCONOLACTONE__45__DECARBOXYLASE__45__RXN	['_4__45__CARBOXYMUCONOLACTONE__45__DECARBOXYLASE__45__RXN']
_2__45__OXOGLUTARATE__45__SYNTHASE__45__RXN	['_2__45__OXOGLUTARATE__45__SYNTHASE__45__RXN']
RXN1G__45__364	['RXN1G__45__364']
RXN__45__17753	['RXN__45__17753']
_5__46__4__46__2__46__10__45__RXN	['_5__46__4__46__2__46__10__45__RXN']
RXN1G__45__368	['RXN1G__45__368']
_1__45__ACYLGLYCEROL__45__3__45__P__45__ACYLTRANSFER__45__RXN	['_1__45__ACYLGLYCEROL__45__3__45__P__45__ACYLTRANSFER__45__RXN']
RXN1G__45__287	['RXN1G__45__287']
GLUTAMATE__45__DEHYDROGENASE__45__RXN	[]
RXN__45__7682	['RXN__45__7682']
ARYLSULFAT__45__RXN	[]
R222__45__RXN	['R222__45__RXN']
RXN__45__18229	['RXN__45__18229']
RXN0__45__5234	['LTAA__45__RXN']
PSERTRANSAMPYR__45__RXN	['PSERTRANSAMPYR__45__RXN']
RXN__45__8629	['RXN__45__8629']
RXN__45__5721	['RXN__45__5721']
RXN__45__9229	[]
RXN__45__13482	['ORNCARBAMTRANSFER__45__RXN', 'RXN__45__13482']
_3__46__6__46__3__46__15__45__RXN	['_3__46__6__46__3__46__15__45__RXN']
RXN__45__12626	['RXN__45__12626']
RXN__45__9222	[]
GUANYL__45__KIN__45__RXN	['GUANYL__45__KIN__45__RXN']
RXN__45__9220	['RXN__45__9220']
RXN0__45__1321	['RXN0__45__1321']
RXN__45__15007	[]
RXN__45__9347	['RXN__45__9347']
RXN__45__14120	['RXN__45__14120']
RXN__45__9348	[]
RXN__45__14126	['RXN__45__14126']
RIBOSYLHOMOCYSTEINASE__45__RXN	['RIBOSYLHOMOCYSTEINASE__45__RXN']
DALADALALIG__45__RXN	['DALADALALIG__45__RXN']
